,Hotel_Address,lat,lng,City,Country,lat_updated,lon_updated
43,10 rue Chateaubriand 8th arr 75008 Paris France,48.8735418,2.302442,Paris,France,48.8534951,2.3483915
44,10 rue d Ormesson 4th arr 75004 Paris France,48.8555319,2.3621212,Paris,France,48.8534951,2.3483915
45,10 rue de Bruxelles 9th arr 75009 Paris France,48.88366,2.3313845,Paris,France,48.8534951,2.3483915
46,10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,48.8789432,2.3448623,Paris,France,48.8534951,2.3483915
47,10 rue de Vaugirard 6th arr 75006 Paris France,48.8491427,2.3397118,Paris,France,48.8534951,2.3483915
48,10 Rue Gabriel Laumain 10th arr 75010 Paris France,48.8734851,2.3485111,Paris,France,48.8534951,2.3483915
49,10 rue Gager Gabillot 15th arr 75015 Paris France,48.8376887,2.3063102,Paris,France,48.8534951,2.3483915
50,10 Rue Kepler 16th arr 75016 Paris France,48.8699103,2.2973386,Paris,France,48.8534951,2.3483915
51,10 rue Lamartine 9th arr 75009 Paris France,48.8766269,2.3432886,Paris,France,48.8534951,2.3483915
52,10 rue Saint Hyacinthe 1st arr 75001 Paris France,48.8661705,2.331561,Paris,France,48.8534951,2.3483915
53,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,48.8729676,2.3081178,Paris,France,48.8534951,2.3483915
54,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,51.510843,-0.1314287,London,United Kingdom,51.4893335,-0.144055085
55,10 West Temple Sheen London SW14 7RT United Kingdom,51.4611219,-0.2756216,London,United Kingdom,51.4893335,-0.144055085
56,100 110 Euston Road Camden London NW1 2AJ United Kingdom,51.5286766,-0.1283489,London,United Kingdom,51.4893335,-0.144055085
57,100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,51.495179,-0.183827,London,United Kingdom,51.4893335,-0.144055085
58,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,51.4925138,-0.1787917,London,United Kingdom,51.4893335,-0.144055085
59,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,51.5254162,-0.0772849,London,United Kingdom,51.4893335,-0.144055085
60,100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom,51.4891226,-0.1205639,London,United Kingdom,51.4893335,-0.144055085
61,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,51.4956657,-0.1452793,London,United Kingdom,51.4893335,-0.144055085
62,101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,51.5014191,-0.1625805,London,United Kingdom,51.4893335,-0.144055085
63,102 Avenue de Villiers 17th arr 75017 Paris France,48.8848583,2.2997023,Paris,France,48.8534951,2.3483915
64,102 Avenue Victor Hugo 16th arr 75016 Paris France,48.8688962,2.2827459,Paris,France,48.8534951,2.3483915
65,102 Bd De Grenelle 15th arr 75015 Paris France,48.8494851,2.2955063,Paris,France,48.8534951,2.3483915
66,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,51.5108439,-0.1839074,London,United Kingdom,51.4893335,-0.144055085
67,108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,51.5209191,-0.1566567,London,United Kingdom,51.4893335,-0.144055085
68,108 Rue Saint Lazare 8th arr 75008 Paris France,48.8756604,2.3252075,Paris,France,48.8534951,2.3483915
69,109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,51.4925478,-0.1780611,London,United Kingdom,51.4893335,-0.144055085
70,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,51.5426054,-0.0072708,London,United Kingdom,51.4893335,-0.144055085
71,10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,51.5426351,-0.0073272,London,United Kingdom,51.4893335,-0.144055085
72,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,51.5054544,-0.2262216,London,United Kingdom,51.4893335,-0.144055085
73,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,51.5188555,-0.1319172,London,United Kingdom,51.4893335,-0.144055085
74,11 15 Rue De Lyon 12th arr 75012 Paris France,48.8468064,2.3714789,Paris,France,48.8534951,2.3483915
75,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,48.8427564,2.3305636,Paris,France,48.8534951,2.3483915
